,gene_id
0,0610007P14Rik
1,0610009B22Rik
2,0610010F05Rik
3,0610012G03Rik
4,0610037L13Rik
5,1110001J03Rik
6,1110004F10Rik
7,1110008P14Rik
8,1110032A03Rik
9,1110051M20Rik
10,1110057K04Rik
11,1110058L19Rik
12,1110059E24Rik
13,1500009L16Rik
14,1500011B03Rik
15,1700017B05Rik
16,1700020I14Rik
17,1700037H04Rik
18,1700066M21Rik
19,1700086L19Rik
20,1700123O20Rik
21,1810026B05Rik
22,1810026J23Rik
23,1810030O07Rik
24,1810037I17Rik
25,1810058I24Rik
26,2010107E04Rik
27,2010111I01Rik
28,2210013O21Rik
29,2210016L21Rik
30,2210018M11Rik
31,2310035C23Rik
32,2310036O22Rik
33,2310061I04Rik
34,2410004B18Rik
35,2410015M20Rik
36,2410089E03Rik
37,2510003E04Rik
38,2510009E07Rik
39,2610001J05Rik
40,2610002M06Rik
41,2610008E11Rik
42,2610203C20Rik
43,2610301B20Rik
44,2610507B11Rik
45,2700029M09Rik
46,2700060E02Rik
47,2700089E24Rik
48,2810008D09Rik
49,2810013P06Rik
50,2810025M15Rik
51,2810403A07Rik
52,2810468N07Rik
53,2810474O19Rik
54,2900011O08Rik
55,2900055J20Rik
56,2900097C17Rik
57,3110002H16Rik
58,3110035E14Rik
59,3830406C13Rik
60,4632428N05Rik
61,4833420G17Rik
62,4833439L19Rik
63,4930402H24Rik
64,4930452B06Rik
65,4930453N24Rik
66,4931406P16Rik
67,4932438A13Rik
68,4933431E20Rik
69,4933434E20Rik
70,5031426D15Rik
71,5330434G04Rik
72,5730455P16Rik
73,5830428H23Rik
74,6330403K07Rik
75,6430548M08Rik
76,8430419L09Rik
77,9030624J02Rik
78,9330159F19Rik
79,9430020K01Rik
80,9530068E07Rik
81,9530091C08Rik
82,9930021J03Rik
83,A230006K03Rik
84,A230046K03Rik
85,A230073K19Rik
86,A330023F24Rik
87,A330050F15Rik
88,A330076H08Rik
89,A530058N18Rik
90,A730017C20Rik
91,A830010M20Rik
92,A830018L16Rik
93,A930011O12Rik
94,AI314180
95,AI413582
96,AI464131
97,AI593442
98,AI597479
99,AW112010
100,AW209491
101,AW549877
102,AW551984
103,Aak1
104,Aamdc
105,Aamp
106,Aars
107,Aarsd1
108,Aasdhppt
109,Abat
110,Abca1
111,Abca5
112,Abcb1a
113,Abcc5
114,Abcd2
115,Abcd3
116,Abce1
117,Abcf2
118,Abcf3
119,Abcg2
120,Abhd10
121,Abhd12
122,Abhd14b
123,Abhd16a
124,Abhd17a
125,Abhd17b
126,Abhd3
127,Abhd4
128,Abhd6
129,Abhd8
130,Abi1
131,Abi2
132,Ablim1
133,Abr
134,Acaa1a
135,Acaa2
136,Acadl
137,Acadm
138,Acadsb
139,Acadvl
140,Acap2
141,Acat1
142,Acbd5
143,Acd
144,Acer3
145,Ache
146,Ackr3
147,Acly
148,Aco2
149,Acot13
150,Acot7
151,Acot9
152,Acox1
153,Acp2
154,Acsbg1
155,Acsl3
156,Acsl4
157,Acsl5
158,Acsl6
159,Acss1
160,Acss2
161,Acta2
162,Actb
163,Actg1
164,Actl6b
165,Actn4
166,Actr10
167,Actr1a
168,Actr1b
169,Actr2
170,Actr3
171,Actr3b
172,Actr6
173,Actr8
174,Acvrl1
175,Adam10
176,Adam15
177,Adam22
178,Adamts18
179,Adap1
180,Adar
181,Adarb2
182,Adcy1
183,Adcy2
184,Adcyap1
185,Adcyap1r1
186,Add1
187,Add2
188,Add3
189,Adh5
190,Adhfe1
191,Adi1
192,Adipor1
193,Adk
194,Adnp
195,Adora1
196,Adora2b
197,Adprh
198,Adra1b
199,Adrbk2
200,Adsl
201,Adss
202,Aes
203,Afap1
204,Afap1l1
205,Aff4
206,Aftph
207,Aga
208,Agap3
209,Agfg1
210,Agl
211,Agmo
212,Ago3
213,Agpat3
214,Agpat4
215,Agpat5
216,Agrn
217,Agtpbp1
218,Ahcyl1
219,Ahi1
220,Ahnak
221,Ahsa1
222,Aifm3
223,Aig1
224,Aimp2
225,Aip
226,Ak1
227,Ak3
228,Ak5
229,Akap11
230,Akap13
231,Akap2
232,Akap5
233,Akap6
234,Akap7
235,Akap8
236,Akap8l
237,Akap9
238,Akirin1
239,Akirin2
240,Akr1a1
241,Akr1b10
242,Akr1c18
243,Akr1e1
244,Akt1
245,Akt2
246,Aktip
247,Alas1
248,Alcam
249,Aldh1a1
250,Aldh1l1
251,Aldh2
252,Aldh3a2
253,Aldh6a1
254,Aldh7a1
255,Aldh9a1
256,Aldoa
257,Aldoc
258,Alg14
259,Alg2
260,Alg3
261,Alg5
262,Amer2
263,Amfr
264,Amigo2
265,Amn1
266,Ampd2
267,Amph
268,Amy1
269,Anapc1
270,Anapc11
271,Anapc16
272,Anapc2
273,Anapc4
274,Anapc5
275,Angel2
276,Ank
277,Ank2
278,Ank3
279,Ankhd1
280,Ankmy2
281,Ankra2
